Latitude,Longitude
-28.0,152.4000000000001
-27.95,152.20000000000005
-27.95,152.25000000000006
-27.95,152.30000000000007
-27.95,152.35000000000008
-27.95,152.4000000000001
-27.9,152.15000000000003
-27.9,152.20000000000005
-27.9,152.25000000000006
-27.9,152.30000000000007
-27.9,152.35000000000008
-27.9,152.4000000000001
-27.849999999999998,152.15000000000003
-27.849999999999998,152.20000000000005
-27.849999999999998,152.25000000000006
-27.849999999999998,152.30000000000007
-27.849999999999998,152.35000000000008
-27.849999999999998,152.4000000000001
-27.799999999999997,152.15000000000003
-27.799999999999997,152.20000000000005
-27.799999999999997,152.25000000000006
-27.799999999999997,152.30000000000007
-27.799999999999997,152.35000000000008
-27.799999999999997,152.4000000000001
-27.749999999999996,152.05
-27.749999999999996,152.10000000000002
-27.749999999999996,152.15000000000003
-27.749999999999996,152.20000000000005
-27.749999999999996,152.25000000000006
-27.749999999999996,152.30000000000007
-27.749999999999996,152.35000000000008
-27.749999999999996,152.4000000000001
-27.699999999999996,152.0
-27.699999999999996,152.05
-27.699999999999996,152.10000000000002
-27.699999999999996,152.15000000000003
-27.699999999999996,152.20000000000005
-27.699999999999996,152.25000000000006
-27.699999999999996,152.30000000000007
-27.699999999999996,152.35000000000008
-27.699999999999996,152.4000000000001
-27.649999999999995,151.95
-27.649999999999995,152.0
-27.649999999999995,152.05
-27.649999999999995,152.10000000000002
-27.649999999999995,152.15000000000003
-27.649999999999995,152.20000000000005
-27.649999999999995,152.25000000000006
-27.649999999999995,152.30000000000007
-27.649999999999995,152.35000000000008
-27.649999999999995,152.4000000000001
-27.649999999999995,152.4500000000001
-27.649999999999995,152.5000000000001
-27.599999999999994,151.95
-27.599999999999994,152.0
-27.599999999999994,152.05
-27.599999999999994,152.10000000000002
-27.599999999999994,152.15000000000003
-27.599999999999994,152.20000000000005
-27.599999999999994,152.25000000000006
-27.599999999999994,152.30000000000007
-27.599999999999994,152.35000000000008
-27.599999999999994,152.4000000000001
-27.599999999999994,152.4500000000001
-27.599999999999994,152.5000000000001
-27.549999999999994,151.95
-27.549999999999994,152.0
-27.549999999999994,152.05
-27.549999999999994,152.10000000000002
-27.549999999999994,152.15000000000003
-27.549999999999994,152.20000000000005
-27.549999999999994,152.25000000000006
-27.549999999999994,152.30000000000007
-27.549999999999994,152.35000000000008
-27.549999999999994,152.4000000000001
-27.549999999999994,152.4500000000001
-27.549999999999994,152.5000000000001
-27.499999999999993,151.95
-27.499999999999993,152.0
-27.499999999999993,152.05
-27.499999999999993,152.10000000000002
-27.499999999999993,152.15000000000003
-27.499999999999993,152.20000000000005
-27.499999999999993,152.25000000000006
-27.499999999999993,152.30000000000007
-27.499999999999993,152.35000000000008
-27.499999999999993,152.4000000000001
-27.499999999999993,152.4500000000001
-27.499999999999993,152.5000000000001
-27.449999999999992,151.95
-27.449999999999992,152.0
-27.449999999999992,152.05
-27.449999999999992,152.10000000000002
-27.449999999999992,152.15000000000003
-27.449999999999992,152.20000000000005
-27.449999999999992,152.25000000000006
-27.449999999999992,152.30000000000007
-27.449999999999992,152.35000000000008
-27.449999999999992,152.4000000000001
-27.449999999999992,152.4500000000001
-27.39999999999999,152.0
-27.39999999999999,152.05
-27.39999999999999,152.10000000000002
-27.39999999999999,152.15000000000003
-27.39999999999999,152.20000000000005
-27.39999999999999,152.25000000000006
-27.39999999999999,152.30000000000007
-27.39999999999999,152.35000000000008
-27.39999999999999,152.4000000000001
