YYYY-MM-DD,daily_rain,max_temp,min_temp,anomaly_isoforest
31/10/1963,24.97777778,25.47777778,12.56666667,-1
16/11/1963,47.3,19.04444444,14.76666667,-1
10/12/1963,24.61111111,26.15555556,14.38888889,-1
13/12/1963,24.3,24.1,16.55555556,-1
14/12/1963,32.63333333,25.23333333,14.71111111,-1
10/01/1964,3.822222222,37.9,20.26666667,-1
18/02/1964,29.17777778,26.13333333,18.0,-1
28/02/1964,43.94444444,27.24444444,16.33333333,-1
2/03/1964,24.66666667,29.76666667,17.76666667,-1
8/03/1964,30.54444444,18.37777778,16.3,-1
21/04/1964,15.25555556,20.17777778,17.63333333,-1
22/04/1964,22.51111111,21.64444444,16.93333333,-1
23/04/1964,22.35555556,22.45555556,13.91111111,-1
31/05/1964,38.17777778,15.9,12.51111111,-1
2/06/1964,12.35555556,15.16666667,4.544444444,-1
3/07/1964,20.14444444,14.46666667,11.46666667,-1
11/07/1964,16.16666667,18.28888889,7.8,-1
12/09/1964,23.81111111,17.97777778,11.52222222,-1
3/10/1964,23.67777778,21.47777778,16.12222222,-1
11/10/1964,20.54444444,21.72222222,15.82222222,-1
17/10/1964,21.0,24.47777778,12.2,-1
23/11/1964,46.54444444,28.84444444,16.26666667,-1
7/12/1964,33.51111111,24.91111111,15.86666667,-1
26/12/1964,53.17777778,28.94444444,17.03333333,-1
23/06/1965,0.377777778,10.78888889,3.566666667,-1
25/06/1965,9.788888889,12.26666667,7.422222222,-1
18/07/1965,0.411111111,12.56666667,1.166666667,-1
19/07/1965,22.3,12.53333333,1.022222222,-1
20/07/1965,165.7888889,12.9,4.766666667,-1
21/07/1965,10.88888889,11.92222222,1.488888889,-1
31/07/1965,3.166666667,11.9,7.633333333,-1
26/08/1965,17.97777778,15.98888889,7.744444444,-1
6/11/1965,0.0,38.57777778,22.41111111,-1
9/12/1965,54.57777778,25.31111111,18.46666667,-1
15/12/1965,22.22222222,26.0,19.01111111,-1
23/01/1966,18.3,21.05555556,12.77777778,-1
15/02/1966,0.0,37.46666667,21.42222222,-1
17/02/1966,12.01111111,30.07777778,20.74444444,-1
18/02/1966,19.62222222,29.57777778,17.8,-1
20/02/1966,27.75555556,24.46666667,14.28888889,-1
24/02/1966,14.51111111,30.51111111,18.78888889,-1
21/03/1966,27.48888889,28.65555556,16.51111111,-1
24/03/1966,27.72222222,22.07777778,14.45555556,-1
26/04/1966,19.3,15.03333333,12.5,-1
27/04/1966,34.81111111,20.68888889,11.95555556,-1
9/06/1966,12.27777778,13.67777778,11.53333333,-1
10/06/1966,19.37777778,13.64444444,10.82222222,-1
11/06/1966,17.21111111,17.07777778,10.08888889,-1
12/06/1966,4.822222222,14.12222222,6.166666667,-1
16/07/1966,0.0,12.17777778,-1.422222222,-1
18/07/1966,0.0,11.41111111,-0.322222222,-1
8/08/1966,5.866666667,14.12222222,9.6,-1
11/08/1966,22.95555556,16.56666667,7.122222222,-1
19/08/1966,12.45555556,16.32222222,12.6,-1
20/08/1966,44.16666667,19.88888889,12.13333333,-1
31/08/1966,15.64444444,18.18888889,11.74444444,-1
8/11/1966,45.04444444,24.05555556,15.84444444,-1
8/12/1966,25.86666667,24.71111111,15.18888889,-1
28/12/1966,12.67777778,33.52222222,18.2,-1
29/12/1966,13.22222222,32.17777778,17.23333333,-1
30/12/1966,46.68888889,29.3,17.46666667,-1
5/01/1967,22.68888889,22.66666667,15.28888889,-1
16/01/1967,8.433333333,36.76666667,20.62222222,-1
29/01/1967,34.63333333,23.78888889,20.58888889,-1
30/01/1967,36.6,28.42222222,20.55555556,-1
9/03/1967,21.81111111,24.35555556,15.2,-1
18/03/1967,30.58888889,22.98888889,16.48888889,-1
10/04/1967,17.53333333,21.47777778,10.96666667,-1
7/05/1967,49.66666667,19.75555556,12.85555556,-1
7/06/1967,18.84444444,15.32222222,12.35555556,-1
8/06/1967,26.4,15.11111111,12.47777778,-1
9/06/1967,24.42222222,15.14444444,11.86666667,-1
10/06/1967,35.8,15.57777778,12.45555556,-1
11/06/1967,16.15555556,16.38888889,13.1,-1
12/06/1967,44.97777778,18.3,12.13333333,-1
13/06/1967,16.28888889,18.71111111,10.35555556,-1
21/06/1967,19.27777778,15.27777778,11.35555556,-1
22/06/1967,33.11111111,18.43333333,11.54444444,-1
25/06/1967,22.52222222,13.96666667,11.11111111,-1
26/06/1967,27.25555556,12.95555556,9.811111111,-1
26/07/1967,3.7,13.41111111,8.844444444,-1
3/08/1967,0.822222222,15.15555556,-2.088888889,-1
6/08/1967,13.52222222,15.64444444,6.033333333,-1
21/10/1967,31.14444444,22.47777778,13.28888889,-1
25/11/1967,18.17777778,32.25555556,18.0,-1
27/11/1967,11.98888889,31.13333333,12.6,-1
4/01/1968,12.54444444,31.67777778,19.5,-1
9/01/1968,22.66666667,21.02222222,18.7,-1
10/01/1968,51.66666667,20.87777778,18.56666667,-1
11/01/1968,31.18888889,23.27777778,18.24444444,-1
12/01/1968,22.9,25.97777778,19.4,-1
13/01/1968,45.67777778,23.83333333,19.77777778,-1
20/03/1968,22.03333333,21.82222222,18.86666667,-1
25/04/1968,19.31111111,19.43333333,13.34444444,-1
13/05/1968,17.4,19.5,15.87777778,-1
14/05/1968,9.9,14.06666667,10.57777778,-1
19/07/1968,17.7,14.12222222,6.933333333,-1
27/07/1968,0.0,15.25555556,-4.455555556,-1
13/08/1968,15.75555556,13.78888889,8.3,-1
21/08/1968,2.388888889,14.01111111,4.3,-1
23/11/1968,9.788888889,32.52222222,19.04444444,-1
3/12/1968,16.58888889,32.31111111,17.56666667,-1
4/12/1968,12.82222222,20.63333333,17.92222222,-1
21/12/1968,20.77777778,30.1,15.98888889,-1
1/01/1969,29.58888889,29.7,16.47777778,-1
2/01/1969,22.24444444,26.58888889,15.25555556,-1
4/01/1969,16.71111111,33.35555556,18.02222222,-1
12/02/1969,16.97777778,28.66666667,19.6,-1
30/03/1969,21.25555556,26.27777778,13.28888889,-1
15/05/1969,25.16666667,21.87777778,15.46666667,-1
27/05/1969,17.93333333,14.97777778,11.93333333,-1
28/05/1969,22.51111111,16.32222222,12.45555556,-1
29/05/1969,18.77777778,19.82222222,10.4,-1
10/06/1969,9.077777778,12.6,4.188888889,-1
20/06/1969,17.01111111,16.07777778,10.68888889,-1
21/06/1969,6.833333333,14.23333333,8.844444444,-1
22/07/1969,13.17777778,12.13333333,3.877777778,-1
27/08/1969,66.82222222,18.04444444,13.0,-1
20/11/1969,28.73333333,26.57777778,14.93333333,-1
24/12/1969,28.48888889,25.25555556,17.45555556,-1
2/01/1970,38.8,25.44444444,13.18888889,-1
13/01/1970,23.64444444,32.54444444,20.1,-1
20/01/1970,26.13333333,32.37777778,18.3,-1
29/01/1970,19.62222222,23.51111111,18.75555556,-1
30/01/1970,20.0,23.24444444,17.66666667,-1
9/03/1970,21.51111111,31.83333333,17.83333333,-1
24/04/1970,17.7,20.51111111,12.37777778,-1
29/05/1970,16.84444444,20.8,8.322222222,-1
23/06/1970,23.86666667,18.57777778,8.2,-1
4/07/1970,0.0,15.25555556,-2.655555556,-1
23/09/1970,22.54444444,23.22222222,11.83333333,-1
21/10/1970,27.04444444,22.18888889,11.35555556,-1
7/12/1970,36.2,21.51111111,17.23333333,-1
8/12/1970,25.2,25.66666667,17.02222222,-1
10/12/1970,44.94444444,25.28888889,15.61111111,-1
19/01/1971,26.92222222,27.81111111,16.43333333,-1
20/01/1971,28.01111111,27.02222222,13.72222222,-1
22/01/1971,23.28888889,26.51111111,17.44444444,-1
4/02/1971,39.71111111,25.37777778,20.2,-1
6/02/1971,51.12222222,29.32222222,18.14444444,-1
18/02/1971,24.33333333,20.91111111,17.77777778,-1
19/02/1971,33.75555556,22.71111111,17.8,-1
22/02/1971,11.4,19.74444444,17.51111111,-1
23/02/1971,39.0,23.77777778,15.73333333,-1
21/05/1971,14.78888889,18.73333333,11.47777778,-1
17/07/1971,22.38888889,16.05555556,6.0,-1
11/08/1971,22.33333333,19.68888889,8.088888889,-1
14/08/1971,9.122222222,13.88888889,3.888888889,-1
15/08/1971,4.477777778,13.43333333,5.611111111,-1
16/08/1971,6.688888889,15.88888889,1.844444444,-1
12/10/1971,10.86666667,19.15555556,5.755555556,-1
13/10/1971,43.45555556,20.64444444,11.84444444,-1
29/11/1971,34.82222222,25.32222222,15.38888889,-1
27/12/1971,27.03333333,21.62222222,17.2,-1
28/12/1971,93.28888889,28.7,15.08888889,-1
15/01/1972,19.33333333,26.61111111,20.25555556,-1
19/01/1972,35.46666667,29.5,18.06666667,-1
12/02/1972,24.06666667,22.7,16.75555556,-1
19/02/1972,31.78888889,25.05555556,17.33333333,-1
2/04/1972,16.31111111,19.71111111,16.44444444,-1
3/04/1972,43.04444444,22.43333333,15.2,-1
23/06/1972,2.077777778,9.988888889,4.888888889,-1
1/10/1972,39.58888889,21.12222222,13.08888889,-1
2/10/1972,18.93333333,23.12222222,11.76666667,-1
25/10/1972,19.54444444,27.6,13.87777778,-1
28/10/1972,25.44444444,23.62222222,13.15555556,-1
29/10/1972,21.24444444,20.82222222,13.7,-1
7/11/1972,18.21111111,29.04444444,14.65555556,-1
11/11/1972,28.02222222,24.17777778,17.7,-1
24/12/1972,0.0,40.22222222,22.58888889,-1
26/12/1972,45.8,35.33333333,22.02222222,-1
27/12/1972,21.83333333,30.35555556,19.35555556,-1
28/12/1972,28.85555556,31.71111111,16.83333333,-1
29/12/1972,20.74444444,29.16666667,17.87777778,-1
13/01/1973,29.0,25.66666667,18.65555556,-1
14/01/1973,21.14444444,30.01111111,19.73333333,-1
29/01/1973,4.833333333,33.18888889,21.42222222,-1
12/02/1973,65.67777778,24.47777778,18.33333333,-1
18/02/1973,38.15555556,20.82222222,17.5,-1
23/02/1973,45.9,26.71111111,18.1,-1
31/03/1973,19.14444444,23.51111111,11.54444444,-1
5/06/1973,2.266666667,14.48888889,2.588888889,-1
5/07/1973,12.56666667,15.22222222,13.13333333,-1
6/07/1973,37.14444444,16.66666667,12.57777778,-1
7/07/1973,12.4,14.6,11.8,-1
8/07/1973,42.03333333,16.27777778,11.34444444,-1
18/07/1973,23.01111111,12.23333333,5.288888889,-1
27/07/1973,8.3,14.55555556,11.96666667,-1
10/08/1973,17.8,16.0,8.8,-1
6/11/1973,23.72222222,25.86666667,11.84444444,-1
7/12/1973,19.57777778,27.88888889,13.85555556,-1
26/12/1973,25.2,28.05555556,16.87777778,-1
8/01/1974,29.84444444,25.36666667,19.97777778,-1
12/01/1974,10.82222222,30.66666667,21.17777778,-1
25/01/1974,68.03333333,22.35555556,17.77777778,-1
26/01/1974,65.41111111,22.64444444,19.44444444,-1
27/01/1974,137.5333333,19.51111111,17.61111111,-1
28/01/1974,26.44444444,22.27777778,17.53333333,-1
24/05/1974,32.76666667,13.18888889,10.57777778,-1
25/05/1974,0.144444444,10.03333333,3.0,-1
13/07/1974,0.0,14.81111111,-2.733333333,-1
2/08/1974,3.988888889,11.77777778,7.766666667,-1
23/08/1974,5.588888889,12.2,9.477777778,-1
26/08/1974,11.12222222,15.54444444,9.555555556,-1
27/08/1974,28.74444444,17.17777778,10.47777778,-1
23/09/1974,14.28888889,18.45555556,6.888888889,-1
1/11/1974,24.74444444,23.16666667,15.0,-1
19/11/1974,26.45555556,19.53333333,15.07777778,-1
27/11/1974,51.4,18.73333333,15.41111111,-1
9/12/1974,26.72222222,28.44444444,14.74444444,-1
29/12/1974,16.35555556,30.98888889,18.9,-1
30/12/1974,28.17777778,29.14444444,17.02222222,-1
6/01/1975,19.94444444,27.05555556,15.32222222,-1
24/02/1975,21.57777778,21.16666667,18.15555556,-1
25/02/1975,62.21111111,22.82222222,18.13333333,-1
26/02/1975,25.02222222,23.72222222,18.24444444,-1
20/06/1975,9.0,14.07777778,11.74444444,-1
21/06/1975,31.95555556,13.62222222,6.5,-1
3/07/1975,34.18888889,14.33333333,10.57777778,-1
4/07/1975,7.766666667,12.42222222,8.322222222,-1
5/08/1975,9.188888889,12.36666667,10.31111111,-1
16/08/1975,14.12222222,16.65555556,8.144444444,-1
1/09/1975,63.11111111,21.2,10.64444444,-1
20/10/1975,53.83333333,20.6,14.03333333,-1
22/10/1975,24.04444444,20.21111111,15.33333333,-1
24/10/1975,21.95555556,26.22222222,16.96666667,-1
9/11/1975,20.54444444,22.53333333,14.33333333,-1
10/11/1975,26.2,24.9,11.2,-1
19/12/1975,25.56666667,28.22222222,20.82222222,-1
20/12/1975,54.43333333,18.83333333,16.33333333,-1
21/12/1975,42.84444444,19.96666667,15.14444444,-1
22/12/1975,17.37777778,21.26666667,16.45555556,-1
23/12/1975,36.86666667,23.37777778,17.98888889,-1
24/12/1975,45.04444444,22.9,18.54444444,-1
11/01/1976,22.64444444,24.58888889,15.35555556,-1
15/01/1976,26.32222222,31.07777778,17.98888889,-1
16/01/1976,29.28888889,26.48888889,20.41111111,-1
20/01/1976,93.92222222,24.8,19.72222222,-1
21/01/1976,48.91111111,25.72222222,20.81111111,-1
10/02/1976,24.81111111,21.75555556,14.64444444,-1
11/02/1976,52.67777778,23.41111111,14.42222222,-1
12/02/1976,36.75555556,26.66666667,17.56666667,-1
23/02/1976,29.16666667,24.01111111,18.44444444,-1
27/02/1976,24.23333333,29.56666667,18.14444444,-1
29/02/1976,32.57777778,26.68888889,16.56666667,-1
8/03/1976,19.14444444,25.71111111,19.13333333,-1
21/03/1976,13.62222222,28.98888889,20.45555556,-1
11/05/1976,23.56666667,18.12222222,12.75555556,-1
20/06/1976,2.544444444,12.48888889,5.666666667,-1
28/06/1976,14.87777778,18.5,11.18888889,-1
15/07/1976,10.31111111,12.77777778,6.088888889,-1
26/07/1976,20.84444444,17.62222222,12.23333333,-1
18/09/1976,32.52222222,15.51111111,10.84444444,-1
27/09/1976,9.2,14.84444444,10.24444444,-1
14/10/1976,21.63333333,21.33333333,13.3,-1
27/10/1976,44.94444444,26.33333333,14.52222222,-1
1/11/1976,35.73333333,26.91111111,12.57777778,-1
10/11/1976,21.65555556,29.85555556,14.81111111,-1
27/12/1976,11.41111111,35.74444444,18.88888889,-1
17/01/1977,51.15555556,31.8,20.43333333,-1
20/02/1977,18.31111111,22.42222222,18.23333333,-1
10/03/1977,22.33333333,19.53333333,17.51111111,-1
11/03/1977,60.14444444,20.21111111,16.4,-1
1/04/1977,18.51111111,30.1,18.51111111,-1
11/05/1977,30.42222222,20.97777778,12.98888889,-1
16/05/1977,26.53333333,18.47777778,15.43333333,-1
28/05/1977,7.666666667,14.22222222,9.877777778,-1
1/06/1977,0.0,10.61111111,1.077777778,-1
2/06/1977,0.0,12.33333333,-0.988888889,-1
10/06/1977,0.588888889,11.08888889,2.533333333,-1
4/11/1977,17.78888889,32.01111111,16.86666667,-1
8/11/1977,39.81111111,29.62222222,15.51111111,-1
30/01/1978,27.38888889,24.7,18.63333333,-1
1/02/1978,19.47777778,22.74444444,18.13333333,-1
10/02/1978,7.244444444,34.17777778,20.72222222,-1
11/02/1978,16.15555556,33.95555556,20.47777778,-1
1/04/1978,16.95555556,17.55555556,15.01111111,-1
2/04/1978,15.94444444,17.16666667,14.74444444,-1
3/04/1978,23.32222222,21.21111111,9.777777778,-1
11/05/1978,17.17777778,15.43333333,12.02222222,-1
